"trial","queens","maxgen","competitors","threads","solved","generations","time"
2, 32, 100, 3, 2, 0, 100, 0.168
3, 32, 100, 3, 2, 0, 100, 0.178
4, 32, 100, 3, 2, 0, 100, 0.165
5, 32, 100, 3, 2, 0, 100, 0.168
6, 32, 100, 3, 2, 0, 100, 0.174
7, 32, 100, 3, 2, 0, 100, 0.173
8, 32, 100, 3, 2, 0, 100, 0.168
9, 32, 100, 3, 2, 0, 100, 0.165
10, 32, 100, 3, 2, 0, 100, 0.17
0, 32, 100, 3, 5, 0, 100, 0.162
1, 32, 100, 3, 5, 0, 100, 0.167
2, 32, 100, 3, 5, 0, 100, 0.164
3, 32, 100, 3, 5, 0, 100, 0.162
4, 32, 100, 3, 5, 0, 100, 0.16
5, 32, 100, 3, 5, 0, 100, 0.175
6, 32, 100, 3, 5, 0, 100, 0.162
7, 32, 100, 3, 5, 0, 100, 0.168
8, 32, 100, 3, 5, 0, 100, 0.157
9, 32, 100, 3, 5, 0, 100, 0.172
10, 32, 100, 3, 5, 0, 100, 0.171
0, 32, 100, 3, 10, 0, 100, 0.168
1, 32, 100, 3, 10, 0, 100, 0.164
2, 32, 100, 3, 10, 0, 100, 0.158
3, 32, 100, 3, 10, 0, 100, 0.165
4, 32, 100, 3, 10, 0, 100, 0.168
5, 32, 100, 3, 10, 0, 100, 0.158
6, 32, 100, 3, 10, 0, 100, 0.162
7, 32, 100, 3, 10, 0, 100, 0.17
8, 32, 100, 3, 10, 0, 100, 0.171
9, 32, 100, 3, 10, 0, 100, 0.162
10, 32, 100, 3, 10, 0, 100, 0.16
0, 8, 1000, 1, 1, 1, 167, 0.039
1, 8, 1000, 1, 1, 1, 700, 0.147
2, 8, 1000, 1, 1, 1, 27, 0.008
3, 8, 1000, 1, 1, 1, 16, 0.005
4, 8, 1000, 1, 1, 0, 1000, 0.223
5, 8, 1000, 1, 1, 1, 9, 0.004
6, 8, 1000, 1, 1, 0, 1000, 0.266
7, 8, 1000, 1, 1, 0, 1000, 0.2
8, 8, 1000, 1, 1, 1, 533, 0.12
9, 8, 1000, 1, 1, 1, 128, 0.03
10, 8, 1000, 1, 1, 1, 15, 0.005
0, 8, 1000, 1, 2, 0, 1000, 0.135
1, 8, 1000, 1, 2, 1, 72, 0.016
2, 8, 1000, 1, 2, 1, 179, 0.026
3, 8, 1000, 1, 2, 0, 1000, 0.171
4, 8, 1000, 1, 2, 1, 72, 0.014
5, 8, 1000, 1, 2, 0, 1000, 0.163
6, 8, 1000, 1, 2, 1, 13, 0.004
7, 8, 1000, 1, 2, 1, 13, 0.004
8, 8, 1000, 1, 2, 0, 1000, 0.172
9, 8, 1000, 1, 2, 1, 362, 0.05
10, 8, 1000, 1, 2, 0, 1000, 0.131
0, 8, 1000, 1, 5, 1, 330, 0.042
1, 8, 1000, 1, 5, 0, 1000, 0.121
2, 8, 1000, 1, 5, 1, 84, 0.011
3, 8, 1000, 1, 5, 1, 331, 0.04
4, 8, 1000, 1, 5, 1, 282, 0.035
5, 8, 1000, 1, 5, 0, 1000, 0.117
6, 8, 1000, 1, 5, 1, 29, 0.005
7, 8, 1000, 1, 5, 0, 1000, 0.115
8, 8, 1000, 1, 5, 1, 24, 0.004
9, 8, 1000, 1, 5, 0, 1000, 0.118
10, 8, 1000, 1, 5, 1, 275, 0.031
0, 8, 1000, 1, 10, 1, 492, 0.057
1, 8, 1000, 1, 10, 1, 35, 0.005
2, 8, 1000, 1, 10, 1, 98, 0.013
3, 8, 1000, 1, 10, 0, 1000, 0.123
4, 8, 1000, 1, 10, 1, 98, 0.012
5, 8, 1000, 1, 10, 1, 102, 0.013
6, 8, 1000, 1, 10, 0, 1000, 0.122
7, 8, 1000, 1, 10, 1, 21, 0.004
8, 8, 1000, 1, 10, 1, 36, 0.006
9, 8, 1000, 1, 10, 0, 1000, 0.132
10, 8, 1000, 1, 10, 0, 1000, 0.131
0, 8, 1000, 2, 1, 1, 23, 0.01
1, 8, 1000, 2, 1, 0, 1000, 0.342
2, 8, 1000, 2, 1, 1, 758, 0.261
3, 8, 1000, 2, 1, 1, 32, 0.016
4, 8, 1000, 2, 1, 1, 379, 0.177
5, 8, 1000, 2, 1, 1, 25, 0.01
6, 8, 1000, 2, 1, 1, 31, 0.011
7, 8, 1000, 2, 1, 1, 30, 0.011
8, 8, 1000, 2, 1, 1, 346, 0.13
9, 8, 1000, 2, 1, 1, 11, 0.005
10, 8, 1000, 2, 1, 1, 15, 0.007
0, 8, 1000, 2, 2, 1, 13, 0.005
1, 8, 1000, 2, 2, 0, 1000, 0.276
2, 8, 1000, 2, 2, 1, 19, 0.007
3, 8, 1000, 2, 2, 1, 6, 0.003
4, 8, 1000, 2, 2, 1, 12, 0.005
5, 8, 1000, 2, 2, 1, 19, 0.007
6, 8, 1000, 2, 2, 1, 41, 0.014
7, 8, 1000, 2, 2, 1, 4, 0.003
8, 8, 1000, 2, 2, 1, 122, 0.036
9, 8, 1000, 2, 2, 1, 19, 0.007
10, 8, 1000, 2, 2, 1, 29, 0.01
0, 8, 1000, 2, 5, 1, 19, 0.006
1, 8, 1000, 2, 5, 1, 18, 0.007
2, 8, 1000, 2, 5, 1, 61, 0.02
3, 8, 1000, 2, 5, 1, 387, 0.097
4, 8, 1000, 2, 5, 1, 78, 0.023
5, 8, 1000, 2, 5, 1, 8, 0.004
6, 8, 1000, 2, 5, 1, 117, 0.03
7, 8, 1000, 2, 5, 1, 386, 0.103
8, 8, 1000, 2, 5, 1, 13, 0.006
9, 8, 1000, 2, 5, 0, 1000, 0.273
10, 8, 1000, 2, 5, 1, 847, 0.248
0, 8, 1000, 2, 10, 1, 23, 0.011
1, 8, 1000, 2, 10, 1, 857, 0.213
2, 8, 1000, 2, 10, 1, 16, 0.006
3, 8, 1000, 2, 10, 1, 40, 0.019
4, 8, 1000, 2, 10, 1, 71, 0.021
5, 8, 1000, 2, 10, 1, 69, 0.027
6, 8, 1000, 2, 10, 1, 16, 0.005
7, 8, 1000, 2, 10, 1, 122, 0.036
8, 8, 1000, 2, 10, 1, 27, 0.012
9, 8, 1000, 2, 10, 0, 1000, 0.247
10, 8, 1000, 2, 10, 1, 23, 0.012
0, 8, 1000, 3, 1, 1, 19, 0.013
1, 8, 1000, 3, 1, 1, 41, 0.026
2, 8, 1000, 3, 1, 1, 24, 0.02
3, 8, 1000, 3, 1, 1, 184, 0.099
4, 8, 1000, 3, 1, 0, 1000, 0.541
5, 8, 1000, 3, 1, 1, 10, 0.008
6, 8, 1000, 3, 1, 1, 15, 0.011
7, 8, 1000, 3, 1, 1, 24, 0.018
8, 8, 1000, 3, 1, 1, 12, 0.013
